trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
543,1679442346.6800768,1679442346.6800768,1679442347.0882576,1679442347.0892544,1679442347.1747878,1679442346.6790667,1679442346.6790667,1679442346.6790667,1679442346.6800768,1679442347.1747878,1679442348.7041268,0
544,1679442348.7061203,1679442348.7061203,1679442349.1670177,1679442349.1680157,1679442349.2287993,1679442348.7051234,1679442348.7061203,1679442348.7061203,1679442348.7061203,1679442349.2287993,1679442350.7257838,0
545,1679442350.7287915,1679442350.7287915,1679442351.1088364,1679442351.110826,1679442351.1857584,1679442350.7277942,1679442350.7277942,1679442350.7277942,1679442350.7287915,1679442351.1857584,1679442352.6828427,0
546,1679442352.6842794,1679442352.6853907,1679442353.098071,1679442353.099164,1679442353.1661522,1679442352.6828427,1679442352.6842794,1679442352.6842794,1679442352.6842794,1679442353.1661522,1679442354.663449,0
547,1679442354.666441,1679442354.666441,1679442355.182274,1679442355.1832724,1679442355.2543333,1679442354.6644456,1679442354.666441,1679442354.666441,1679442354.666441,1679442355.2543333,1679442356.7571452,0
548,1679442356.7581427,1679442356.759531,1679442357.1851957,1679442357.186194,1679442357.2827868,1679442356.7581427,1679442356.7581427,1679442356.7581427,1679442356.7581427,1679442357.2837837,1679442358.9755447,0
549,1679442358.977711,1679442358.9787247,1679442359.4212506,1679442359.4223127,1679442359.493511,1679442358.9765418,1679442358.977711,1679442358.977711,1679442358.977711,1679442359.493511,1679442361.0990114,0
550,1679442361.1013134,1679442361.1013134,1679442361.58543,1679442361.586426,1679442361.6512856,1679442361.1000085,1679442361.1013134,1679442361.1013134,1679442361.1013134,1679442361.6522114,1679442363.2436738,0
551,1679442363.2456672,1679442363.2456672,1679442363.645197,1679442363.6462054,1679442363.7098212,1679442363.2446704,1679442363.2456672,1679442363.2456672,1679442363.2456672,1679442363.7098212,1679442365.1607037,0
552,1679442365.1620016,1679442365.1620016,1679442365.6404576,1679442365.6414547,1679442365.7177622,1679442365.1607037,1679442365.1620016,1679442365.1620016,1679442365.1620016,1679442365.7187626,1679442367.1818883,0
553,1679442367.1838026,1679442367.1838026,1679442367.5909147,1679442367.5909147,1679442367.6604373,1679442367.182882,1679442367.1838026,1679442367.1838026,1679442367.1838026,1679442367.6614347,1679442369.2341716,0
554,1679442369.2361724,1679442369.2361724,1679442369.6251662,1679442369.6251662,1679442369.6972432,1679442369.2351742,1679442369.2361724,1679442369.2361724,1679442369.2361724,1679442369.6972432,1679442371.2324371,0
555,1679442371.2338521,1679442371.2349076,1679442371.6208224,1679442371.6218204,1679442371.694199,1679442371.2324371,1679442371.2338521,1679442371.2338521,1679442371.2338521,1679442371.694199,1679442373.3352041,0
556,1679442373.3372955,1679442373.3372955,1679442373.7842908,1679442373.7852871,1679442373.8753645,1679442373.336289,1679442373.3372955,1679442373.3372955,1679442373.3372955,1679442373.8763738,1679442375.4506068,0
557,1679442375.4525993,1679442375.4525993,1679442375.867796,1679442375.868793,1679442375.9314387,1679442375.4516058,1679442375.4516058,1679442375.4516058,1679442375.4525993,1679442375.9314387,1679442377.5075605,0
558,1679442377.5105631,1679442377.5105631,1679442377.9326448,1679442377.9336424,1679442378.0073988,1679442377.5095534,1679442377.5105631,1679442377.5105631,1679442377.5105631,1679442378.0083945,1679442379.5582294,0
559,1679442379.560136,1679442379.560136,1679442379.9805253,1679442379.981524,1679442380.0522094,1679442379.5592153,1679442379.560136,1679442379.560136,1679442379.560136,1679442380.05325,1679442381.536719,0
560,1679442381.5396984,1679442381.5396984,1679442381.9049776,1679442381.9059744,1679442381.9724452,1679442381.5387077,1679442381.5396984,1679442381.5396984,1679442381.5396984,1679442381.9724452,1679442383.42372,0
561,1679442383.4257178,1679442383.4257178,1679442383.865744,1679442383.866741,1679442383.9290583,1679442383.4247167,1679442383.4257178,1679442383.4257178,1679442383.4257178,1679442383.9290583,1679442385.519408,0
562,1679442385.5213099,1679442385.5213099,1679442386.0404932,1679442386.041469,1679442386.105171,1679442385.5203907,1679442385.5213099,1679442385.5213099,1679442385.5213099,1679442386.105171,1679442387.7375295,0
563,1679442387.739521,1679442387.7405171,1679442388.1458294,1679442388.1468263,1679442388.214979,1679442387.738524,1679442387.739521,1679442387.739521,1679442387.7405171,1679442388.214979,1679442389.6708798,0
564,1679442389.6728735,1679442389.67387,1679442390.1526103,1679442390.153607,1679442390.2368898,1679442389.671877,1679442389.6728735,1679442389.6728735,1679442389.6728735,1679442390.2368898,1679442391.6883786,0
565,1679442391.6913772,1679442391.6913772,1679442392.070833,1679442392.0718281,1679442392.1632736,1679442391.6893756,1679442391.690372,1679442391.690372,1679442391.6913772,1679442392.1632736,1679442393.663328,0
566,1679442393.6653216,1679442393.6653216,1679442394.063566,1679442394.0655596,1679442394.135355,1679442393.6643248,1679442393.6653216,1679442393.6653216,1679442393.6653216,1679442394.1363492,1679442395.7053225,0
567,1679442395.7072344,1679442395.7072344,1679442396.193454,1679442396.1945388,1679442396.26675,1679442395.7063198,1679442395.7072344,1679442395.7072344,1679442395.7072344,1679442396.26675,1679442397.8559115,0
568,1679442397.857905,1679442397.857905,1679442398.2644322,1679442398.265429,1679442398.3354025,1679442397.8569083,1679442397.857905,1679442397.857905,1679442397.857905,1679442398.3354025,1679442399.8772347,0
569,1679442399.8792245,1679442399.8802211,1679442400.270288,1679442400.2712848,1679442400.33325,1679442399.8792245,1679442399.8792245,1679442399.8792245,1679442399.8792245,1679442400.33325,1679442401.9122698,0
570,1679442401.9142632,1679442401.9142632,1679442402.37424,1679442402.375572,1679442402.4683638,1679442401.9132664,1679442401.9142632,1679442401.9142632,1679442401.9142632,1679442402.4683638,1679442404.0447843,0
571,1679442404.0467007,1679442404.0467007,1679442404.4010885,1679442404.4020836,1679442404.4810438,1679442404.0457823,1679442404.0467007,1679442404.0467007,1679442404.0467007,1679442404.4810438,1679442406.0885243,0
572,1679442406.0905163,1679442406.0905163,1679442406.5092714,1679442406.510268,1679442406.5750208,1679442406.0895214,1679442406.0895214,1679442406.0895214,1679442406.0905163,1679442406.5750208,1679442408.149541,0
