id,server_received_connection_time,prediction,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received,start_time,client_connection_finished_time
452,1679443437.544522,0,1679443437.544522,1679443437.54585,1679443437.54585,1679443437.54585,1679443437.544522,1679443437.544522
453,1679443437.54585,0,1679443437.54585,1679443437.54585,1679443437.54585,1679443437.5471976,1679443437.54585,1679443437.54585
454,1679443437.5471976,0,1679443437.5471976,1679443437.5482588,1679443437.5482588,1679443437.5482588,1679443437.5471976,1679443437.5471976
455,1679443437.5482588,0,1679443437.5482588,1679443437.5492928,1679443437.5492928,1679443437.5492928,1679443437.5482588,1679443437.5482588
456,1679443437.5492928,0,1679443437.5492928,1679443437.5503883,1679443437.5503883,1679443437.5503883,1679443437.5492928,1679443437.5492928
457,1679443437.5503883,0,1679443437.5503883,1679443437.5503883,1679443437.5503883,1679443437.5503883,1679443437.5503883,1679443437.5503883
458,1679443437.551665,0,1679443437.551665,1679443437.5527477,1679443437.5527477,1679443437.5527477,1679443437.551665,1679443437.551665
459,1679443437.5540206,0,1679443437.5540206,1679443437.5540206,1679443437.5540206,1679443437.5540206,1679443437.5527477,1679443437.5540206
460,1679443437.5550613,0,1679443437.5550613,1679443437.5562837,1679443437.5562837,1679443437.5562837,1679443437.5550613,1679443437.5550613
461,1679443437.5562837,0,1679443437.5562837,1679443437.5572987,1679443437.5572987,1679443437.5572987,1679443437.5562837,1679443437.5562837
462,1679443437.5572987,0,1679443437.5572987,1679443437.5583036,1679443437.5583036,1679443437.5583036,1679443437.5572987,1679443437.5572987
463,1679443437.5593085,0,1679443437.5593085,1679443437.5593085,1679443437.5593085,1679443437.5593085,1679443437.5583036,1679443437.5593085
464,1679443437.5604587,0,1679443437.5604587,1679443437.5604587,1679443437.5604587,1679443437.5604587,1679443437.5593085,1679443437.5604587
465,1679443437.561469,0,1679443437.561469,1679443437.561469,1679443437.561469,1679443437.561469,1679443437.5604587,1679443437.561469
466,1679443437.562633,0,1679443437.562633,1679443437.562633,1679443437.562633,1679443437.562633,1679443437.561469,1679443437.562633
467,1679443437.5636384,0,1679443437.5636384,1679443437.5636384,1679443437.5636384,1679443437.5636384,1679443437.562633,1679443437.5636384
468,1679443437.5646415,0,1679443437.5646415,1679443437.5646415,1679443437.5646415,1679443437.5646415,1679443437.5636384,1679443437.5646415
469,1679443437.5658655,0,1679443437.5658655,1679443437.5658655,1679443437.5658655,1679443437.5658655,1679443437.5646415,1679443437.5658655
470,1679443437.5671604,0,1679443437.5671604,1679443437.5671604,1679443437.5671604,1679443437.5681927,1679443437.5658655,1679443437.5671604
471,1679443437.5681927,0,1679443437.5681927,1679443437.5692973,1679443437.5692973,1679443437.5692973,1679443437.5681927,1679443437.5681927
472,1679443437.570564,0,1679443437.570564,1679443437.570564,1679443437.570564,1679443437.5720325,1679443437.5692973,1679443437.570564
473,1679443437.5720325,0,1679443437.5720325,1679443437.5730562,1679443437.5730562,1679443437.5730562,1679443437.5720325,1679443437.5720325
474,1679443437.574056,0,1679443437.574056,1679443437.574056,1679443437.574056,1679443437.574056,1679443437.5730562,1679443437.574056
475,1679443437.5753715,0,1679443437.5753715,1679443437.5753715,1679443437.5753715,1679443437.5753715,1679443437.574056,1679443437.5753715
476,1679443437.576549,0,1679443437.576549,1679443437.576549,1679443437.576549,1679443437.576549,1679443437.5753715,1679443437.576549
477,1679443437.5777159,0,1679443437.5777159,1679443437.5777159,1679443437.5777159,1679443437.5777159,1679443437.576549,1679443437.576549
478,1679443437.5777159,0,1679443437.5777159,1679443437.5792086,1679443437.5792086,1679443437.5792086,1679443437.5777159,1679443437.5777159
479,1679443437.5792086,0,1679443437.5792086,1679443437.5802352,1679443437.5802352,1679443437.5802352,1679443437.5792086,1679443437.5792086
480,1679443437.5802352,0,1679443437.5802352,1679443437.5812407,1679443437.5812407,1679443437.5812407,1679443437.5802352,1679443437.5802352
481,1679443437.5812407,0,1679443437.5812407,1679443437.5826552,1679443437.5826552,1679443437.5826552,1679443437.5812407,1679443437.5812407
482,1679443437.5826552,0,1679443437.5826552,1679443437.583951,1679443437.583951,1679443437.583951,1679443437.5826552,1679443437.5826552
483,1679443437.583951,0,1679443437.583951,1679443437.5849767,1679443437.5849767,1679443437.5849767,1679443437.583951,1679443437.583951
484,1679443437.5849767,0,1679443437.5849767,1679443437.5861838,1679443437.5861838,1679443437.5861838,1679443437.5849767,1679443437.5849767
485,1679443437.5874202,0,1679443437.5874202,1679443437.5884476,1679443437.5884476,1679443437.5884476,1679443437.5861838,1679443437.5874202
486,1679443437.5894523,0,1679443437.5894523,1679443437.5904658,1679443437.5904658,1679443437.5904658,1679443437.5884476,1679443437.5894523
487,1679443437.5904658,0,1679443437.5904658,1679443437.5914788,1679443437.5914788,1679443437.5914788,1679443437.5904658,1679443437.5904658
488,1679443437.5914788,0,1679443437.5914788,1679443437.5925324,1679443437.5925324,1679443437.5925324,1679443437.5914788,1679443437.5914788
489,1679443437.5925324,0,1679443437.5925324,1679443437.5939865,1679443437.5939865,1679443437.5939865,1679443437.5925324,1679443437.5925324
490,1679443437.5939865,0,1679443437.5939865,1679443437.5939865,1679443437.5939865,1679443437.5951548,1679443437.5939865,1679443437.5939865
491,1679443437.5951548,0,1679443437.5951548,1679443437.5951548,1679443437.5951548,1679443437.5962691,1679443437.5951548,1679443437.5951548
492,1679443437.5962691,0,1679443437.5962691,1679443437.5972774,1679443437.5972774,1679443437.5972774,1679443437.5962691,1679443437.5962691
493,1679443437.5972774,0,1679443437.5972774,1679443437.5984888,1679443437.5984888,1679443437.5984888,1679443437.5972774,1679443437.5972774
