server_computation_start_time,server_computation_end_time,server_sent_data_time,start_time,initial_network_connection_finished,client_received_time
1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287
1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287
1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287,1680553977.7204287
1680553977.7275443,1680553977.7275443,1680553977.7275443,1680553977.7204287,1680553977.7275443,1680553977.7275443
1680553977.7275443,1680553977.731253,1680553977.731253,1680553977.7275443,1680553977.7275443,1680553977.731253
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.731253,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322,1680553977.7328322
1680553977.7470994,1680553977.7491164,1680553977.7491164,1680553977.7463932,1680553977.7470994,1680553977.7491164
1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164
1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164
1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164,1680553977.7491164
1680553977.755659,1680553977.755659,1680553977.755659,1680553977.7491164,1680553977.755659,1680553977.755659
1680553977.755659,1680553977.7579293,1680553977.7579293,1680553977.755659,1680553977.755659,1680553977.7579293
1680553977.7597067,1680553977.7597067,1680553977.7597067,1680553977.7579293,1680553977.7597067,1680553977.7597067
1680553977.7628896,1680553977.7634292,1680553977.7634292,1680553977.7597067,1680553977.7628896,1680553977.7634292
1680553977.7634292,1680553977.7659159,1680553977.7659159,1680553977.7634292,1680553977.7634292,1680553977.7659159
1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159
1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159,1680553977.7659159
1680553977.7659159,1680553977.771737,1680553977.771737,1680553977.7659159,1680553977.7659159,1680553977.771737
1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737
1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737,1680553977.771737
1680553977.771737,1680553977.7762718,1680553977.7762718,1680553977.771737,1680553977.771737,1680553977.7762718
1680553977.7782795,1680553977.778869,1680553977.778869,1680553977.7762718,1680553977.7762718,1680553977.778869
1680553977.778869,1680553977.778869,1680553977.778869,1680553977.778869,1680553977.778869,1680553977.778869
1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.778869,1680553977.7820745,1680553977.7820745
1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745
1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745
1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745
1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745,1680553977.7820745
1680553977.7910843,1680553977.7910843,1680553977.7910843,1680553977.7820745,1680553977.7910843,1680553977.7910843
1680553977.7910843,1680553977.7910843,1680553977.7910843,1680553977.7910843,1680553977.7910843,1680553977.7910843
1680553977.794774,1680553977.794774,1680553977.794774,1680553977.794095,1680553977.794774,1680553977.794774
1680553977.7970293,1680553977.7977386,1680553977.7977386,1680553977.794774,1680553977.7970293,1680553977.7977386
1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7977386,1680553977.7996764,1680553977.7996764
1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764
1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764
1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764
1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764,1680553977.7996764
1680553977.810184,1680553977.8108325,1680553977.8108325,1680553977.7996764,1680553977.7996764,1680553977.8108325
1680553977.8121417,1680553977.8121417,1680553977.8121417,1680553977.8108325,1680553977.8121417,1680553977.8121417
1680553977.8121417,1680553977.8121417,1680553977.8121417,1680553977.8121417,1680553977.8121417,1680553977.8121417
1680553977.8121417,1680553977.818197,1680553977.818197,1680553977.8121417,1680553977.8121417,1680553977.818197
1680553977.818197,1680553977.8201866,1680553977.8201866,1680553977.818197,1680553977.818197,1680553977.8201866
1680553977.8201866,1680553977.8220236,1680553977.8220236,1680553977.8201866,1680553977.8201866,1680553977.8220236
1680553977.8220236,1680553977.8237145,1680553977.8237145,1680553977.8220236,1680553977.8220236,1680553977.8237145
1680553977.824962,1680553977.8259706,1680553977.8259706,1680553977.8237145,1680553977.824962,1680553977.8259706
1680553977.8266554,1680553977.8266554,1680553977.8266554,1680553977.8259706,1680553977.8266554,1680553977.8266554
1680553977.8266554,1680553977.8266554,1680553977.8266554,1680553977.8266554,1680553977.8266554,1680553977.8266554
1680553977.8266554,1680553977.83058,1680553977.83058,1680553977.8266554,1680553977.8266554,1680553977.83058
1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058
1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058
1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058
1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058,1680553977.83058
1680553977.8420942,1680553977.8432703,1680553977.8432703,1680553977.83058,1680553977.83058,1680553977.8432703
1680553977.8432703,1680553977.8447833,1680553977.8447833,1680553977.8432703,1680553977.8432703,1680553977.8447833
1680553977.8447833,1680553977.8447833,1680553977.8447833,1680553977.8447833,1680553977.8447833,1680553977.8447833
1680553977.8447833,1680553977.8482234,1680553977.8482234,1680553977.8447833,1680553977.8447833,1680553977.8482234
1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234
1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234,1680553977.8482234
1680553977.8533983,1680553977.8533983,1680553977.8533983,1680553977.8482234,1680553977.8533983,1680553977.8533983
1680553977.8533983,1680553977.8533983,1680553977.8533983,1680553977.8533983,1680553977.8533983,1680553977.8533983
1680553977.85792,1680553977.858604,1680553977.858604,1680553977.8533983,1680553977.85792,1680553977.858604
1680553977.858604,1680553977.8603463,1680553977.8603463,1680553977.858604,1680553977.858604,1680553977.8603463
1680553977.8613322,1680553977.8613322,1680553977.8613322,1680553977.8603463,1680553977.8613322,1680553977.8613322
1680553977.8613322,1680553977.8664155,1680553977.8664155,1680553977.8613322,1680553977.8613322,1680553977.8664155
1680553977.8664155,1680553977.8682022,1680553977.8682022,1680553977.8664155,1680553977.8664155,1680553977.8682022
1680553977.8692486,1680553977.8692486,1680553977.8692486,1680553977.8682022,1680553977.8692486,1680553977.8692486
1680553977.8692486,1680553977.8692486,1680553977.8692486,1680553977.8692486,1680553977.8692486,1680553977.8692486
1680553977.87376,1680553977.8749838,1680553977.8749838,1680553977.8692486,1680553977.87376,1680553977.8749838
1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838
1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838
1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838,1680553977.8749838
1680553977.8807127,1680553977.8812902,1680553977.8812902,1680553977.8749838,1680553977.8807127,1680553977.8812902
1680553977.8828936,1680553977.8828936,1680553977.8828936,1680553977.8812902,1680553977.8828936,1680553977.8828936
1680553977.8828936,1680553977.8828936,1680553977.8828936,1680553977.8828936,1680553977.8828936,1680553977.8828936
1680553977.8828936,1680553977.8875632,1680553977.8875632,1680553977.8828936,1680553977.8828936,1680553977.8875632
1680553977.8895798,1680553977.8903022,1680553977.8903022,1680553977.8875632,1680553977.8895798,1680553977.8903022
1680553977.8913093,1680553977.8913093,1680553977.8913093,1680553977.8903022,1680553977.8913093,1680553977.8913093
1680553977.8933806,1680553977.8933806,1680553977.8933806,1680553977.8913093,1680553977.8933806,1680553977.8933806
1680553977.8933806,1680553977.8933806,1680553977.8933806,1680553977.8933806,1680553977.8933806,1680553977.8933806
1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8933806,1680553977.8982866,1680553977.8982866
1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866
1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866,1680553977.8982866
1680553977.904397,1680553977.905429,1680553977.905429,1680553977.8982866,1680553977.904397,1680553977.905429
1680553977.9061108,1680553977.906897,1680553977.906897,1680553977.905429,1680553977.9061108,1680553977.906897
1680553977.908066,1680553977.9088047,1680553977.9088047,1680553977.906897,1680553977.908066,1680553977.9088047
1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047
1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047,1680553977.9088047
1680553977.9088047,1680553977.915011,1680553977.915011,1680553977.9088047,1680553977.9088047,1680553977.915011
1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011
1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011
1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.915011,1680553977.9214396
1680553977.9220657,1680553977.9220657,1680553977.9220657,1680553977.9214396,1680553977.9220657,1680553977.9220657
1680553977.9220657,1680553977.9220657,1680553977.9220657,1680553977.9220657,1680553977.9220657,1680553977.9220657
1680553977.926185,1680553977.926185,1680553977.926185,1680553977.9220657,1680553977.926185,1680553977.926185
1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185
1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185,1680553977.926185
1680553977.926185,1680553977.9333255,1680553977.9333255,1680553977.926185,1680553977.926185,1680553977.9333255
1680553977.9348164,1680553977.9348164,1680553977.9348164,1680553977.9333255,1680553977.9348164,1680553977.9348164
1680553977.9348164,1680553977.938022,1680553977.938022,1680553977.9348164,1680553977.9348164,1680553977.938022
1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022
1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022
1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022
1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022
1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022,1680553977.938022
1680553977.9477057,1680553977.9485464,1680553977.9485464,1680553977.938022,1680553977.9477057,1680553977.9485464
1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464
1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464,1680553977.9485464
1680553977.9485464,1680553977.953687,1680553977.953687,1680553977.9485464,1680553977.9485464,1680553977.953687
1680553977.954383,1680553977.954383,1680553977.954383,1680553977.953687,1680553977.954383,1680553977.954383
1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383
1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383
1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383,1680553977.954383
